Title,Details,Category,Rating,Votes,Director
Gerasis Vilas Hantingas,1997R2h 6m,Drama,8.3,1M,Gus Van Sant
Žmogus su randu,198318+2h 50m,Crime,8.3,896K,Brian De Palma
Jausmų galia,2004R1h 48m,Drama,8.3,1.1M,Michel Gondry
2001: Kosminė odisėja,1968G2h 29m,Adventure,8.3,706K,Stanley Kubrick
Taylor Swift: The Eras Tour,2023PG-132h 49m,Documentary,8.3,13K,Sam Wrench
Narsioji širdis,1995R2h 58m,Biography,8.3,1.1M,Mel Gibson
Prisukamas apelsinas,1971N-182h 16m,Crime,8.3,867K,Stanley Kubrick
Medžioklė,2012R1h 55m,Drama,8.3,355K,Thomas Vinterberg
Žaislų istorija,1995V1h 21m,Animation,8.3,1M,John Lasseter
Kartą Amerikoje,1984R3h 49m,Crime,8.3,371K,Sergio Leone
Metalinis apvalkalas,1987N-181h 56m,Drama,8.3,777K,Stanley Kubrick
Pasiutę šunys,1992R1h 39m,Crime,8.3,1.1M,Quentin Tarantino
Hamiltonas,2020PG-132h 40m,Biography,8.3,109K,Thomas Kail
Princesė Mononokė,1997PG-132h 14m,Animation,8.3,421K,Hayao Miyazaki
Žvaigždžių karai. Džedajaus sugrįžimas,1983PG2h 11m,Action,8.3,1.1M,Richard Marquand
Aukštyn,2009PG1h 36m,Animation,8.3,1.1M,Pete Docter
"Moteris, kuri dainuoja",2010N-162h 11m,Drama,8.3,192K,Denis Villeneuve
Amelija iš Monmartro,2001R2h 2m,Comedy,8.3,784K,Jean-Pierre Jeunet
Arabijos Lorensas,1962Approved3h 38m,Adventure,8.3,308K,David Lean
Žaislų istorija 3,2010V1h 43m,Animation,8.3,878K,Lee Unkrich
Svaigulys,1958PG2h 8m,Mystery,8.3,420K,Alfred Hitchcock
Vikram,20222h 55m,Action,8.3,71K,Lokesh Kanagaraj
Pilietis Keinas,1941PG1h 59m,Drama,8.3,460K,Orson Welles
Į šiaurę per šiaurės vakarus,1959Approved2h 16m,Action,8.3,341K,Alfred Hitchcock
Metropolis,1927Not Rated2h 33m,Drama,8.3,182K,Fritz Lang
Dainuojantys lietuje,1952G1h 43m,Comedy,8.3,256K,Stanley Donen
Nežudyk strazdo giesmininko,1962Approved2h 9m,Crime,8.3,328K,Robert Mulligan
Butas,1960Approved2h 5m,Comedy,8.3,192K,Billy Wilder
Apgaulė,1973PG2h 9m,Comedy,8.3,275K,George Roy Hill
M,1931Passed1h 57m,Crime,8.3,166K,Fritz Lang
Dviguba kompensacija,1944Passed1h 47m,Crime,8.3,165K,Billy Wilder
K.G.F: Chapter 2,2022Not Rated2h 46m,Action,8.3,145K,Prashanth Neel
Išsiskyrimas,2011PG-132h 3m,Drama,8.3,255K,Asghar Farhadi
Shershaah,2021TV-142h 15m,Action,8.3,128K,Vishnuvardhan
Gyventi,1952Not Rated2h 23m,Drama,8.3,85K,Akira Kurosawa
Niurnbergo procesas,1961Approved2h 59m,Drama,8.3,83K,Stanley Kramer
Žvaigždės ant žemės,2007PG2h 42m,Drama,8.3,203K,Aamir Khan
Dangal,2016Not Rated2h 41m,Action,8.3,205K,Nitesh Tiwari
Dviračių vagys,1948Not Rated1h 29m,Drama,8.3,172K,Vittorio De Sica
Chhichhore,2019Not Rated2h 23m,Comedy,8.3,61K,Nitesh Tiwari
Dil Bechara,2020Not Rated1h 41m,Comedy,8.3,134K,Mukesh Chhabra
Galiorkos vaikai,1945Not Rated3h 9m,Drama,8.3,21K,Marcel Carné
Gyventi!,1994Not Rated2h 13m,Drama,8.3,20K,Yimou Zhang
Žmogus su kino kamera,1929Not Rated1h 8m,Documentary,8.3,27K,Dziga Vertov
Rakšasas,2018Not Rated2h 50m,Action,8.3,49K,Ram Kumar
Skrenda gervės,1957Not Rated1h 35m,Drama,8.3,19K,Mikhail Kalatozov
Hoop Dreams,1994PG-132h 50m,Documentary,8.3,28K,Steve James
Ayla: The Daughter of War,20172h 5m,Biography,8.3,43K,Can Ulkay
Won't You Be My Neighbor?,2018PG-131h 35m,Documentary,8.3,27K,Morgan Neville
Užmirštieji,1950Not Rated1h 25m,Crime,8.3,22K,Luis Buñuel
Jana Gana Mana,20222h 42m,Crime,8.3,16K,Dijo Jose Antony
Ordet,1955Not Rated2h 6m,Drama,8.3,17K,Carl Theodor Dreyer
Raudonbarzdis,1965Not Rated3h 5m,Drama,8.3,21K,Akira Kurosawa
Tylos žvilgsnis,2014PG-131h 43m,Documentary,8.3,14K,Joshua Oppenheimer
Jôi-uchi: Hairyô tsuma shimatsu,1967Not Rated2h 8m,Drama,8.3,14K,Masaki Kobayashi
Premam,20152h 36m,Comedy,8.3,23K,Alphonse Puthren
Satya,1998Not Rated2h 50m,Action,8.3,16K,Ram Gopal Varma
Super Deluxe,2019Not Rated2h 56m,Comedy,8.3,17K,Thiagarajan Kumararaja
Maanaadu,2021PG-132h 27m,Action,8.3,25K,Venkat Prabhu
Sairat,2016Not Rated2h 54m,Drama,8.3,14K,Nagraj Manjule
Anniyan,2005Not Rated3h 1m,Action,8.3,21K,S. Shankar
Bangalore Days,2014Not Rated2h 51m,Comedy,8.3,22K,Anjali Menon
Lucia,2013Not Rated2h 15m,Drama,8.3,13K,Pawan Kumar
Soodhu Kavvum,2013Not Rated2h 15m,Comedy,8.3,11K,Nalan Kumarasamy
Žiema ugnyje: Ukrainos kova už laisvę,2015Not Rated1h 42m,Documentary,8.3,20K,Evgeny Afineevsky
Brilliantovaya ruka,1969Not Rated1h 34m,Adventure,8.3,16K,Leonid Gaidai
Drishyam,2013Not Rated2h 40m,Crime,8.3,43K,Jeethu Joseph
Agent Sai Srinivasa Athreya,2019Not Rated2h 28m,Comedy,8.3,16K,Swaroop Rsj
Macskafogó,1986Unrated1h 36m,Animation,8.3,11K,Béla Ternovszky
"Kavkazskaya plennitsa, ili Novye priklyucheniya Shurika",1967TV-131h 22m,Adventure,8.3,13K,Leonid Gaidai
Köyden Indim Sehire,19741h 31m,Adventure,8.3,12K,Ertem Egilmez
Jaane Bhi Do Yaaro,1983Not Rated2h 12m,Comedy,8.3,15K,Kundan Shah
Chupke Chupke,1975Not Rated2h 26m,Comedy,8.3,13K,Hrishikesh Mukherjee
Kaun Pravin Tambe?,20222h 14m,Biography,8.3,11K,Jayprad Desai
Baasha,1995Not Rated2h 25m,Action,8.3,11K,Suresh Krishna
Kietas riešutėlis,1988R2h 12m,Action,8.2,922K,John McTiernan
Volstryto vilkas,2013N-163h,Biography,8.2,1.5M,Martin Scorsese
Klausas,2019PG1h 36m,Animation,8.2,177K,Sergio Pablos
Los Andželas slaptai,1997R2h 18m,Crime,8.2,607K,Curtis Hanson
Žmogus-voras: nėra kelio atgal,2021PG-132h 28m,Action,8.2,848K,Jon Watts
Bus kraujo,2007R2h 38m,Drama,8.2,628K,Paul Thomas Anderson
Tėvas,2020PG-131h 37m,Drama,8.2,183K,Florian Zeller
Šioje šalyje nera vietos senukams,2007R2h 2m,Crime,8.2,1M,Ethan Coen
Juros periodo parkas,1993PG-132h 7m,Action,8.2,1M,Steven Spielberg
Kuždesių sala,2010R2h 18m,Mystery,8.2,1.4M,Martin Scorsese
Indiana Džounsas ir paskutinis kryžiaus žygis,1989PG-132h 7m,Action,8.2,798K,Steven Spielberg
Trumeno šou,1998PG1h 43m,Comedy,8.2,1.2M,Peter Weir
Taksistas,1976R1h 54m,Crime,8.2,898K,Martin Scorsese
1917,2019R1h 59m,Action,8.2,653K,Sam Mendes
Keliaujanti pilis,2004PG1h 59m,Animation,8.2,432K,Hayao Miyazaki
Nužudyti Bilą 1,2003N-161h 51m,Action,8.2,1.2M,Quentin Tarantino
Nuostabus protas,2001PG-132h 15m,Biography,8.2,971K,Ron Howard
Vagišiai,2000R1h 44m,Comedy,8.2,894K,Guy Ritchie
Betmenas: Pradžia,2005PG-132h 20m,Action,8.2,1.5M,Christopher Nolan
Padaras,1982R1h 49m,Horror,8.2,456K,John Carpenter
Žalioji knyga,2018N-132h 10m,Biography,8.2,545K,Peter Farrelly
Kazino,1995R2h 58m,Crime,8.2,552K,Martin Scorsese
Šeštasis pojūtis,1999PG-131h 47m,Drama,8.2,1M,M. Night Shyamalan
Menantis pikta,1992R2h 10m,Drama,8.2,430K,Clint Eastwood
Žuviukas Nemo,2003G1h 40m,Animation,8.2,1.1M,Andrew Stanton
Pano labirintas,2006R1h 58m,Drama,8.2,694K,Guillermo del Toro
Vėjo nublokšti,1939Passed3h 58m,Drama,8.2,329K,Victor Fleming
V - tai Vendeta,2005R2h 12m,Action,8.2,1.2M,James McTeigue
Monty Python ir šventasis Gralis,1975PG1h 31m,Adventure,8.2,563K,Terry Gilliam
Trečiojo Reicho žlugimas,2004R2h 36m,Biography,8.2,370K,Oliver Hirschbiegel
Džiaze tik merginos,1959Passed2h 1m,Comedy,8.2,279K,Billy Wilder
Kinų kvartalas,1974R2h 10m,Drama,8.2,343K,Roman Polanski
Paslaptis jų akyse,2009N-162h 9m,Drama,8.2,219K,Juan José Campanella
Didysis pabėgimas,1963Approved2h 52m,Adventure,8.2,255K,John Sturges
What Is a Woman?,20221h 35m,Documentary,8.2,41K,Justin Folk
Drambliažmogis,1980PG2h 4m,Biography,8.2,254K,David Lynch
Nesantaika,1985R2h 40m,Action,8.2,133K,Akira Kurosawa
Kantara,2022Not Rated2h 28m,Action,8.2,100K,Rishab Shetty
Tumbbad,2018Not Rated1h 44m,Drama,8.2,57K,Rahi Anil Barve
Gangs of Wasseypur,2012Not Rated5h 21m,Action,8.2,102K,Anurag Kashyap
Keliais doleriais daugiau,1965R2h 12m,Drama,8.2,270K,Sergio Leone
Viskas apie Ievą,1950Passed2h 18m,Drama,8.2,137K,Joseph L. Mankiewicz
Drishyam 2,2022Not Rated2h 20m,Crime,8.2,42K,Abhishek Pathak
Įvykus žmogžudystei skambinkite M,1954PG1h 45m,Crime,8.2,185K,Alfred Hitchcock
Rasiomonas,1950Not Rated1h 28m,Crime,8.2,177K,Akira Kurosawa
Kimetsu no Yaiba: Mugen Ressha-Hen,2020TV-141h 57m,Animation,8.2,70K,Haruo Sotozaki
Uri: The Surgical Strike,2019Not Rated2h 18m,Action,8.2,70K,Aditya Dhar
Savu darbas,2010PG-131h 49m,Documentary,8.2,78K,Charles Ferguson
Žudymo aktas,2012Not Rated1h 57m,Documentary,8.2,40K,Joshua Oppenheimer
They Shall Not Grow Old,2018R1h 39m,Documentary,8.2,38K,Peter Jackson
Aklasis pianistas,2018Not Rated2h 19m,Crime,8.2,100K,Sriram Raghavan
Asmens sargybinis,1961Not Rated1h 50m,Action,8.2,129K,Akira Kurosawa
Zindagi Na Milegi Dobara,2011Not Rated2h 35m,Comedy,8.2,84K,Zoya Akhtar
K.G.F: Chapter 1,2018Not Rated2h 34m,Action,8.2,95K,Prashanth Neel
Yedinci Kogustaki Mucize,2019TV-142h 12m,Drama,8.2,54K,Mehmet Ada Öztekin
Drishyam,2015Not Rated2h 43m,Crime,8.2,92K,Nishikant Kamat
Dangaus vaikai,1997PG1h 29m,Drama,8.2,79K,Majid Majidi
Siera Madrės lobis,1948Passed2h 6m,Adventure,8.2,131K,John Huston
Gimtinė,2004Not Rated3h 30m,Drama,8.2,96K,Ashutosh Gowariker
Gyvenimas be pusiausvyros,1982Not Rated1h 26m,Documentary,8.2,41K,Godfrey Reggio
Kelio daina,1955Not Rated2h 5m,Drama,8.2,37K,Satyajit Ray
Būti ar nebūti,1942Passed1h 39m,Comedy,8.2,42K,Ernst Lubitsch
Atlyginimas už baimę,1953Not Rated2h 11m,Adventure,8.2,65K,Henri-Georges Clouzot
Mažylis,1921Passed1h 8m,Comedy,8.2,133K,Charles Chaplin
Guling jie shaonian sharen shijian,1991Not Rated3h 57m,Crime,8.2,12K,Edward Yang
Bãhubali 2: The Conclusion,2017Not Rated2h 47m,Action,8.2,111K,S.S. Rajamouli
Cukrinio žmogaus beieškant,2012PG-131h 26m,Documentary,8.2,72K,Malik Bendjelloul
Sátántangó,1994Not Rated7h 19m,Drama,8.2,12K,Béla Tarr
Z,1969M/PG2h 7m,Crime,8.2,31K,Costa-Gavras
Nema-ye Nazdik,1990Not Rated1h 38m,Biography,8.2,22K,Abbas Kiarostami
Jigarthanda,2014Not Rated2h 51m,Action,8.2,13K,Karthik Subbaraj
Lion of the Desert,1980PG2h 53m,Biography,8.2,17K,Moustapha Akkad
Trylikta,2016TV-MA1h 40m,Documentary,8.2,37K,Ava DuVernay
Paris Is Burning,1990R1h 18m,Documentary,8.2,17K,Jennie Livingston
Babam ve Oglum,2005Not Rated1h 52m,Drama,8.2,91K,Çagan Irmak
Paradise Lost: The Child Murders at Robin Hood Hills,1996Not Rated2h 30m,Documentary,8.2,18K,Joe Berlinger
Sherlock Jr.,1924Passed45m,Action,8.2,55K,Buster Keaton
Rokas ir jo broliai,1960Not Rated2h 59m,Crime,8.2,21K,Luchino Visconti
Dersu Uzala,1975G2h 22m,Adventure,8.2,33K,Akira Kurosawa
A Face in the Crowd,1957Approved2h 6m,Drama,8.2,17K,Elia Kazan
Un condamné à mort s'est échappé ou Le vent souffle où il veut,1956Not Rated1h 41m,Drama,8.2,24K,Robert Bresson
