Title,Details,Category,Rating,Votes,Director
Dag II,20162h 15m,Action,8.2,110K,Alper Caglar
Ugetsu monogatari,1953Not Rated1h 36m,Drama,8.2,25K,Kenji Mizoguchi
It's Such a Beautiful Day,2012Not Rated1h 2m,Animation,8.2,15K,Don Hertzfeldt
Banshun,1949Not Rated1h 48m,Drama,8.2,19K,Yasujirô Ozu
Vikram Vedha,2017Not Rated2h 27m,Action,8.2,50K,Gayatri
Bhaag Milkha Bhaag,2013Not Rated3h 6m,Biography,8.2,71K,Rakeysh Omprakash Mehra
Abad va yek rooz,20161h 52m,Drama,8.2,17K,Saeed Roustayi
Umbertas D.,1952Not Rated1h 29m,Drama,8.2,28K,Vittorio De Sica
Before the Flood,2016PG1h 36m,Documentary,8.2,29K,Fisher Stevens
Khosla Ka Ghosla!,2006Not Rated2h 15m,Comedy,8.2,25K,Dibakar Banerjee
Rangasthalam,2018Not Rated2h 50m,Action,8.2,27K,Sukumar
Virunga,2014Not Rated1h 40m,Documentary,8.2,12K,Orlando von Einsiedel
Il sorpasso,1962Not Rated1h 48m,Comedy,8.2,12K,Dino Risi
Bizim Için Sampiyon,20182h 10m,Biography,8.2,13K,Ahmet Katiksiz
Soy Cuba,1964Not Rated2h 21m,Drama,8.2,10K,Mikhail Kalatozov
Baladė apie kareivį,1959Not Rated1h 28m,Drama,8.2,11K,Grigoriy Chukhray
Shahid,2012Not Rated2h 9m,Biography,8.2,17K,Hansal Mehta
Aparajito,1956Not Rated1h 50m,Drama,8.2,16K,Satyajit Ray
I Am a Fugitive from a Chain Gang,1932Passed1h 32m,Crime,8.2,14K,Mervyn LeRoy
Theeran Adhigaaram Ondru,2017Not Rated2h 37m,Action,8.2,16K,H. Vinoth
Ustad Hotel,20122h 31m,Comedy,8.2,16K,Anwar Rasheed
Vaaranam Aayiram,2008Not Rated2h 49m,Action,8.2,14K,Gautham Vasudev Menon
Athadu,2005Not Rated2h 52m,Action,8.2,14K,Trivikram Srinivas
RangiTaranga,2015Not Rated2h 29m,Mystery,8.2,15K,Anup Bhandari
Dhuruvangal Pathinaaru,2016Not Rated1h 45m,Crime,8.2,17K,Karthick Naren
Ivan Vasilevich menyaet professiyu,1973TV-G1h 28m,Adventure,8.2,18K,Leonid Gaidai
Paan Singh Tomar,2012Not Rated2h 15m,Action,8.2,38K,Tigmanshu Dhulia
Cep Herkülü: Naim Süleymanoglu,20192h 21m,Biography,8.2,14K,Özer Feyzioglu
Sluzhebnyy roman,1977Not Rated2h 39m,Comedy,8.2,10K,Eldar Ryazanov
Endless Corridor,201452m,Documentary,8.2,38K,Aleksandras Brokas
The Holdovers,2023R2h 13m,Comedy,8.1,19K,Alexander Payne
Pašėlęs Maksas: įtūžio kelias,2015N-162h,Action,8.1,1.1M,George Miller
Fargo,1996R1h 38m,Crime,8.1,711K,Joel Coen
Dingusi,2014N-162h 29m,Drama,8.1,1M,David Fincher
Didysis Lebovskis,1998R1h 57m,Comedy,8.1,847K,Joel Coen
Bėgantis skustuvo ašmenimis,1982R1h 57m,Action,8.1,808K,Ridley Scott
Haris Poteris ir mirties relikvijos. 2 dalis,2011N-72h 10m,Adventure,8.1,928K,David Yates
Kaliniai,2013N-162h 33m,Crime,8.1,783K,Denis Villeneuve
Egzorcistas,1973R2h 2m,Horror,8.1,446K,William Friedkin
"Pagauk, jei gali",2002PG-132h 21m,Biography,8.1,1.1M,Steven Spielberg
Karibų piratai: Juodojo perlo prakeiksmas,2003PG-132h 23m,Action,8.1,1.2M,Gore Verbinski
Muzikos garsai,1965G2h 52m,Biography,8.1,253K,Robert Wise
Le Manas'66. Plento karaliai,2019N-132h 32m,Action,8.1,447K,James Mangold
Likime kartu,1986R1h 29m,Adventure,8.1,432K,Rob Reiner
Terminatorius,1984R1h 47m,Action,8.1,908K,James Cameron
Loganas. Ernis,2017N-162h 17m,Action,8.1,813K,James Mangold
Ozo šalies burtininkas,1939G1h 42m,Adventure,8.1,421K,Victor Fleming
Elnių medžiotojas,1978R3h 3m,Drama,8.1,356K,Michael Cimino
Mirusių poetų draugija,1989PG2h 8m,Comedy,8.1,530K,Peter Weir
Pjūklo ketera,2016N-132h 19m,Biography,8.1,577K,Mel Gibson
Viešbutis 'Didysis Budapeštas',2014N-161h 39m,Adventure,8.1,868K,Wes Anderson
Tarnaitė,2011PG-132h 26m,Drama,8.1,484K,Tate Taylor
Kalėdų giesmė,1951TV-PG1h 26m,Drama,8.1,25K,Brian Desmond Hurst
Baris Lindonas,1975PG3h 5m,Adventure,8.1,179K,Stanley Kubrick
Išvirkščias pasaulis,2015V1h 35m,Animation,8.1,765K,Pete Docter
Ben-Huras,1959G3h 32m,Adventure,8.1,250K,William Wyler
Tarnaitė,2016Not Rated2h 25m,Drama,8.1,166K,Park Chan-wook
La troškinys,2007V1h 51m,Animation,8.1,800K,Brad Bird
"Trys stendai prie Ebingo, Misūryje",2017R1h 55m,Comedy,8.1,542K,Martin McDonagh
Nasrai,1975PG2h 4m,Adventure,8.1,647K,Steven Spielberg
Traukinių žymėjimas,1996N-181h 33m,Drama,8.1,715K,Danny Boyle
Atgal į gamtą,2007R2h 28m,Adventure,8.1,648K,Sean Penn
Kambarys,2015R1h 58m,Drama,8.1,443K,Lenny Abrahamson
Rokis,1976PG2h,Drama,8.1,616K,John G. Avildsen
Popierinis mėnulis,1973PG1h 42m,Comedy,8.1,51K,Peter Bogdanovich
Būrys,1986R2h,Drama,8.1,432K,Oliver Stone
Žmogžudystės prisiminimai,2003Not Rated2h 11m,Crime,8.1,208K,Bong Joon Ho
Prieš saulėtekį,1995R1h 41m,Drama,8.1,332K,Richard Linklater
Sensacija,2015N-162h 9m,Biography,8.1,494K,Tom McCarthy
Kaip prisijaukinti slibiną,2010V1h 38m,Animation,8.1,783K,Dean DeBlois
Stalkeris,1979Not Rated2h 42m,Drama,8.1,142K,Andrei Tarkovsky
12 vergovės metų,2013N-162h 14m,Biography,8.1,731K,Steve McQueen
Gran Torino,2008R1h 56m,Drama,8.1,804K,Clint Eastwood
"Lok, stauk arba šauk",1998R1h 47m,Action,8.1,607K,Guy Ritchie
Kovotojai,2011PG-132h 20m,Action,8.1,491K,Gavin O'Connor
Monstrų biuras,2001V1h 32m,Animation,8.1,959K,Pete Docter
Lenktynės,2013N-162h 3m,Action,8.1,504K,Ron Howard
Mano kaimynas Totoro,1988V1h 26m,Animation,8.1,368K,Hayao Miyazaki
"Mergina, verta milijono",2004PG-132h 12m,Drama,8.1,712K,Clint Eastwood
Įsiutęs bulius,1980R2h 9m,Biography,8.1,373K,Martin Scorsese
Liepsnojančios moters portretas,2019R2h 2m,Drama,8.1,105K,Céline Sciamma
Meilės laukimas,2000PG1h 38m,Drama,8.1,163K,Kar-Wai Wong
"Paryžius, Teksasas",1984R2h 25m,Drama,8.1,115K,Wim Wenders
Neapykanta,1995Not Rated1h 38m,Crime,8.1,191K,Mathieu Kassovitz
Šiuolaikiniai žvėrys,2014N-162h 2m,Comedy,8.1,212K,Damián Szifron
Tylus balsas,2016Not Rated2h 10m,Animation,8.1,96K,Naoko Yamada
Fani ir Aleksandras,1982R3h 8m,Drama,8.1,67K,Ingmar Bergman
Hačiko. Šuns istorija,2009G1h 33m,Biography,8.1,304K,Lasse Hallström
Šaltakraujis Liukas,1967GP2h 7m,Crime,8.1,186K,Stuart Rosenberg
Septintasis antspaudas,1957Not Rated1h 36m,Drama,8.1,195K,Ingmar Bergman
Plieninis milžinas,1999PG1h 26m,Animation,8.1,220K,Brad Bird
Tinklas,1976R2h 1m,Drama,8.1,167K,Sidney Lumet
Prieš saulėlydį,2004R1h 20m,Drama,8.1,282K,Richard Linklater
Vardan tėvo,1993R2h 13m,Biography,8.1,184K,Jim Sheridan
"Žmogus, nušovęs Libertį Valansą",1962Approved2h 3m,Drama,8.1,81K,John Ford
Ruandos viešbutis,2004PG-132h 1m,Biography,8.1,368K,Terry George
Persona,1966Not Rated1h 25m,Drama,8.1,128K,Ingmar Bergman
Uoste,1954Approved1h 48m,Crime,8.1,162K,Elia Kazan
Farha,2021TV-141h 32m,Drama,8.1,86K,Darin J. Sallam
Tiltas per Kvai upę,1957PG2h 41m,Adventure,8.1,230K,David Lean
Rebeka,1940Approved2h 10m,Drama,8.1,144K,Alfred Hitchcock
Prakeikta meilė,2000R2h 34m,Drama,8.1,250K,Alejandro G. Iñárritu
PK,2014Not Rated2h 33m,Comedy,8.1,198K,Rajkumar Hirani
Merė ir Maksas,2009Not Rated1h 32m,Animation,8.1,184K,Adam Elliot
Vakarų fronte nieko naujo,1930Passed2h 32m,Drama,8.1,67K,Lewis Milestone
Trečiasis asmuo,1949Approved1h 44m,Film-Noir,8.1,179K,Carol Reed
Geriausi mūsų gyvenimo metai,1946Approved2h 50m,Drama,8.1,69K,William Wyler
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997TV-MA1h 27m,Animation,8.1,62K,Hideaki Anno
Raudoni bateliai,1948Not Rated2h 15m,Drama,8.1,38K,Michael Powell
Pogrindis,1995Not Rated2h 50m,Comedy,8.1,61K,Emir Kusturica
Tai nutiko vieną naktį,1934Passed1h 45m,Comedy,8.1,110K,Frank Capra
Yaariyan 2,20232h 28m,Comedy,8.1,11K,Radhika Rao
Tokijo apysaka,1953Not Rated2h 16m,Drama,8.1,67K,Yasujirô Ozu
Still,2023R1h 35m,Documentary,8.1,13K,Davis Guggenheim
Laisva siela,2018PG-131h 40m,Documentary,8.1,75K,Jimmy Chin
Bajrangi Bhaijaan,2015Not Rated2h 43m,Action,8.1,96K,Kabir Khan
Rūstybės kekės,1940Passed2h 9m,Drama,8.1,98K,John Ford
Trys spalvos: Raudona,1994R1h 39m,Drama,8.1,108K,Krzysztof Kieslowski
The Message,1976PG2h 57m,Biography,8.1,50K,Moustapha Akkad
The Miracle Worker,1962Approved1h 46m,Biography,8.1,20K,Arthur Penn
400 smūgių,1959Not Rated1h 39m,Crime,8.1,126K,François Truffaut
My Octopus Teacher,2020TV-G1h 25m,Documentary,8.1,61K,Pippa Ehrlich
Žemuogių pievelė,1957Not Rated1h 31m,Drama,8.1,113K,Ingmar Bergman
Barfi!,2012Not Rated2h 31m,Comedy,8.1,86K,Anurag Basu
A Woman Under the Influence,1974R2h 35m,Drama,8.1,28K,John Cassavetes
Andrejus Rubliovas,1966R3h 25m,Biography,8.1,56K,Andrei Tarkovsky
"Sudie, mano sugulove",1992R2h 51m,Drama,8.1,32K,Kaige Chen
La battaglia di Algeri,1966Not Rated2h 1m,Drama,8.1,64K,Gillo Pontecorvo
Yi yi,2000Not Rated2h 53m,Drama,8.1,27K,Edward Yang
Blackfish,2013PG-131h 23m,Documentary,8.1,71K,Gabriela Cowperthwaite
OMG: Oh My God!,2012Not Rated2h 5m,Comedy,8.1,64K,Umesh Shukla
Lagaan: Once Upon a Time in India,2001PG3h 44m,Drama,8.1,119K,Ashutosh Gowariker
Ponas Smitas vyksta į Vašingtoną,1939Passed2h 9m,Comedy,8.1,120K,Frank Capra
Apsėstieji,1955Not Rated1h 57m,Crime,8.1,69K,Henri-Georges Clouzot
Paskutinis valsas,1978PG1h 57m,Documentary,8.1,20K,Martin Scorsese
Pjausi audrą,1960Passed2h 8m,Biography,8.1,32K,Stanley Kramer
Pakeliui i amžinybę,20151h 49m,Drama,8.1,30K,Neeraj Ghaywan
Paslėpta tvirtovė,1958Not Rated2h 19m,Action,8.1,41K,Akira Kurosawa
Munna Bhai M.B.B.S.,2003Not Rated2h 36m,Comedy,8.1,87K,Rajkumar Hirani
Žanos d'Ark kančia,1928Passed1h 50m,Biography,8.1,59K,Carl Theodor Dreyer
Vilko vaikai,2012N-71h 57m,Animation,8.1,48K,Mamoru Hosoda
Samurajaus likimas,20022h 9m,Drama,8.1,25K,Yôji Yamada
Talvar,2015Not Rated2h 12m,Crime,8.1,38K,Meghna Gulzar
Rudens sonata,1978PG1h 39m,Drama,8.1,37K,Ingmar Bergman
Dil Chahta Hai,2001V3h 3m,Comedy,8.1,75K,Farhan Akhtar
Generolas,1926Passed1h 18m,Action,8.1,97K,Clyde Bruckman
Kruvinas sostas,1957Not Rated1h 50m,Drama,8.1,55K,Akira Kurosawa
Šešeliu armija,1969Not Rated2h 25m,Drama,8.1,25K,Jean-Pierre Melville
Khane-ye doust kodjast?,1987Not Rated1h 23m,Drama,8.1,18K,Abbas Kiarostami
Ace in the Hole,1951Approved1h 51m,Drama,8.1,39K,Billy Wilder
A Wednesday,2008Not Rated1h 44m,Action,8.1,81K,Neeraj Pandey
Didžioji iliuzija,1937Not Rated1h 53m,Drama,8.1,38K,Jean Renoir
Žanas de Floretas,1986PG2h,Comedy,8.1,27K,Claude Berri
Kabirijos naktys,1957Not Rated1h 50m,Drama,8.1,51K,Federico Fellini
White Heat,1949Not Rated1h 54m,Action,8.1,35K,Raoul Walsh
Čigonų laikas,1988R2h 22m,Comedy,8.1,32K,Emir Kusturica
Aukso karštligė,1925Passed1h 35m,Adventure,8.1,117K,Charles Chaplin
Nae meorisokui jiwoogae,2004PG-131h 57m,Drama,8.1,25K,John H. Lee
Apollo 11,2019G1h 33m,Documentary,8.1,27K,Todd Douglas Miller
Nudažyk geltonai,2006Not Rated2h 47m,Comedy,8.1,122K,Rakeysh Omprakash Mehra
Sunrise: A Song of Two Humans,1927Passed1h 34m,Drama,8.1,53K,F.W. Murnau
Trumpas filmas apie meilę,1988Not Rated1h 27m,Drama,8.1,26K,Krzysztof Kieslowski
Uždek raudoną žibintą,1991PG2h 5m,Drama,8.1,35K,Yimou Zhang
Faust: Eine deutsche Volkssage,1926Not Rated1h 47m,Drama,8.1,16K,F.W. Murnau
Paveldėtoja,1949Not Rated1h 55m,Drama,8.1,17K,William Wyler
Hera Pheri,2000Not Rated2h 36m,Action,8.1,71K,Priyadarshan
Pink,2016Not Rated2h 16m,Crime,8.1,47K,Aniruddha Roy Chowdhury
Woodstock,1970R3h 4m,Documentary,8.1,18K,Michael Wadleigh
Karo rūkas,2003PG-131h 47m,Documentary,8.1,25K,Errol Morris
Rififi,1955Not Rated1h 58m,Crime,8.1,36K,Jules Dassin
Mandarinai,2013Not Rated1h 27m,Drama,8.1,48K,Zaza Urushadze
7-beon-bang-ui seon-mul,20132h 7m,Comedy,8.1,23K,Hwan-kyung Lee
Džordžas Harisonas: gyvenimas materialiame pasaulyje,2011Not Rated3h 28m,Documentary,8.1,12K,Martin Scorsese
Ypatingoji diena,1977Approved1h 46m,Drama,8.1,15K,Ettore Scola
Viridiana,1961Not Rated1h 31m,Drama,8.1,26K,Luis Buñuel
Masumiyet,19971h 50m,Drama,8.1,19K,Zeki Demirkubuz
The Dawn Wall,2017Not Rated1h 40m,Documentary,8.1,21K,Josh Lowell
Sholay,1975Not Rated3h 24m,Action,8.1,58K,Ramesh Sippy
Dara iz Jasenovca,2020R2h 10m,Drama,8.1,82K,Predrag Antonijevic
Major,20222h 30m,Action,8.1,32K,Sashi Kiran Tikka
Hearts of Darkness: A Filmmaker's Apocalypse,1991R1h 36m,Documentary,8.1,23K,Fax Bahr
Seaspiracy,2021TV-141h 29m,Documentary,8.1,34K,Ali Tabrizi
Eskiya,1996Not Rated2h 8m,Crime,8.1,72K,Yavuz Turgul
Kolektyvinis,2019Not Rated1h 49m,Documentary,8.1,13K,Alexander Nanau
Hridayam,20222h 52m,Drama,8.1,15K,Vineeth Sreenivasan
Black,2005Not Rated2h 2m,Drama,8.1,36K,Sanjay Leela Bhansali
"Montevideo, Bog te video!",20102h 20m,Adventure,8.1,13K,Dragan Bjelogrlic
Safety Last!,1923Not Rated1h 14m,Action,8.1,22K,Fred C. Newmeyer
Chak De! India,2007Not Rated2h 33m,Drama,8.1,84K,Shimit Amin
The Tashkent Files,2019Not Rated2h 14m,Drama,8.1,36K,Vivek Agnihotri
Love Today,20222h 34m,Comedy,8.0,15K,Pradeep Ranganathan
Rang-e khoda,1999PG1h 30m,Drama,8.1,18K,Majid Majidi
Kahaani,2012Not Rated2h 2m,Mystery,8.1,65K,Sujoy Ghosh
Queen,2013Not Rated2h 26m,Adventure,8.1,68K,Vikas Bahl
Udaan,2010Not Rated2h 14m,Drama,8.1,47K,Vikramaditya Motwane
Article 15,2019Not Rated2h 10m,Crime,8.1,36K,Anubhav Sinha
Thuppakki,2012Not Rated2h 45m,Action,8.1,37K,A.R. Murugadoss
Cirkas,1928Passed1h 12m,Comedy,8.1,36K,Charles Chaplin
Section 375,2019Not Rated2h 4m,Crime,8.1,17K,Ajay Bahl
Kaththi,2014Not Rated2h 46m,Action,8.1,29K,A.R. Murugadoss
Cowspiracy: The Sustainability Secret,2014Not Rated1h 30m,Documentary,8.1,26K,Kip Andersen
Sarfarosh,1999Not Rated2h 54m,Action,8.1,27K,John Mathew Matthan
Her Sey Çok Güzel Olacak,19981h 47m,Comedy,8.1,27K,Ömer Vargi
Roja,19922h 17m,Drama,8.1,14K,Mani Ratnam
Pardon,20051h 39m,Comedy,8.1,23K,Mert Baykal
Anandas,1971Not Rated2h 2m,Drama,8.1,35K,Hrishikesh Mukherjee
Ghilli,2004Not Rated2h 40m,Action,8.1,16K,Dharani
Dzien swira,2002Not Rated1h 33m,Comedy,8.1,11K,Marek Koterski
Vredens dag,1943Not Rated1h 37m,Drama,8.1,11K,Carl Theodor Dreyer
Jo Jeeta Wohi Sikandar,1992Not Rated2h 54m,Comedy,8.1,24K,Mansoor Khan
Indian,1996Not Rated3h 5m,Action,8.1,14K,S. Shankar
Zeitgeist: Moving Forward,2011Not Rated2h 41m,Documentary,8.1,19K,Peter Joseph
Bombay,1995Not Rated2h 21m,Drama,8.1,13K,Mani Ratnam
Iqbal,2005Not Rated2h 12m,Drama,8.1,18K,Nagesh Kukunoor
The Legend of Bhagat Singh,2002Not Rated2h 35m,Action,8.1,17K,Rajkumar Santoshi
Praėję gyvenimai,2023PG-131h 45m,Drama,8.0,47K,Celine Song
Kopa,2021PG-132h 35m,Action,8.0,732K,Denis Villeneuve
Bėgantis skustuvo ašmenimis 2049,2017N-132h 44m,Action,8.0,636K,Denis Villeneuve
Juodoji gulbe,2010N-161h 48m,Drama,8.0,808K,Darren Aronofsky
Princesė ir nuotaka,1987PG1h 38m,Adventure,8.0,444K,Rob Reiner
Ji,2013N-132h 6m,Drama,8.0,655K,Spike Jonze
Kalifornijos svajos,2016N-132h 8m,Comedy,8.0,644K,Damien Chazelle
Deadpool,2016N-161h 48m,Action,8.0,1.1M,Tim Miller
Kazino Royale,2006PG-132h 24m,Action,8.0,684K,Martin Campbell
Hju Glaso legenda,2015N-162h 36m,Action,8.0,854K,Alejandro G. Iñárritu
Galaktikos sergėtojai,2014N-132h 1m,Action,8.0,1.3M,James Gunn
Keršytojai,2012PG-132h 23m,Action,8.0,1.4M,Joss Whedon
Marsietis,2015N-132h 24m,Adventure,8.0,904K,Ridley Scott
Donis Darko,2001R1h 53m,Drama,8.0,837K,Richard Kelly
Nerealieji,2004PG1h 55m,Animation,8.0,789K,Brad Bird
Nuodėmių miestas,2005R2h 4m,Crime,8.0,788K,Frank Miller
Švilpiko diena,1993PG1h 41m,Comedy,8.0,670K,Harold Ramis
Zootropolis,2016N-71h 48m,Animation,8.0,533K,Byron Howard
Vaizduotės žaidimas,2014N-131h 54m,Biography,8.0,810K,Morten Tyldum
Kurčiųjų vaikas,2021PG-131h 51m,Comedy,8.0,157K,Sian Heder
Siela,2020PG1h 40m,Animation,8.0,364K,Pete Docter
Šokis su vilkais,1990PG-133h 1m,Adventure,8.0,285K,Kevin Costner
JFK: Džonas F. Kenedis. Šūviai Dalase,1991R3h 9m,Drama,8.0,167K,Oliver Stone
Moters kvapas,1992R2h 36m,Drama,8.0,321K,Martin Brest
Mano gyvenimo žuvis,2003N-72h 5m,Adventure,8.0,454K,Tim Burton
Dvylika beždžionių,1995R2h 9m,Mystery,8.0,639K,Terry Gilliam
Beždžionių planeta,1968G1h 52m,Adventure,8.0,190K,Franklin J. Schaffner
Absolventas,1967PG1h 46m,Comedy,8.0,285K,Mike Nichols
Rio Bravo,1959Passed2h 21m,Drama,8.0,67K,Howard Hawks
Kruvinas deimantas,2006R2h 23m,Adventure,8.0,577K,Edward Zwick
Magnolija,1999R3h 8m,Drama,8.0,325K,Paul Thomas Anderson
Karaliaus kalba,2010R1h 58m,Biography,8.0,701K,Tom Hooper
Arjun Reddy,2017Not Rated3h 2m,Action,8.0,27K,Sandeep Reddy Vanga
Gražuolė ir pabaisa,1991G1h 24m,Animation,8.0,474K,Gary Trousdale
Rozmari kūdikis,1968Approved2h 17m,Drama,8.0,231K,Roman Polanski
Nužudyti Bilą 2,2004N-162h 17m,Action,8.0,791K,Quentin Tarantino
Lietaus žmogus,1988R2h 13m,Drama,8.0,538K,Barry Levinson
The Shop Around the Corner,1940Not Rated1h 39m,Comedy,8.0,37K,Ernst Lubitsch
Ieškantys laimės,2006PG-131h 57m,Biography,8.0,548K,Gabriele Muccino
Aladinas,1992G1h 30m,Animation,8.0,455K,Ron Clements
Pâfekuto burû,19971h 21m,Animation,8.0,90K,Satoshi Kon
Akira,1988R2h 4m,Animation,8.0,200K,Katsuhiro Ôtomo
Skustuvo ašmenys,1996R2h 15m,Drama,8.0,98K,Billy Bob Thornton
Nematomas svečias,2016TV-MA1h 46m,Crime,8.0,189K,Oriol Paulo
Dogvilis,2003R2h 58m,Crime,8.0,156K,Lars von Trier
Lūšnynų milijonierius,2008N-132h,Crime,8.0,869K,Danny Boyle
Jaunasis Frankenšteinas,1974PG1h 46m,Comedy,8.0,167K,Mel Brooks
Bornas. Galutinis tikslas,2007PG-131h 55m,Action,8.0,652K,Paul Greengrass
Pakilęs iš pelenų,2005V2h 24m,Biography,8.0,196K,Ron Howard
Brajano gyvenimas,1979R1h 34m,Comedy,8.0,418K,Terry Jones
Elkis teisingai,1989R2h,Comedy,8.0,110K,Spike Lee
Paskutinis kino seansas,1971R1h 58m,Drama,8.0,51K,Peter Bogdanovich
Čiongčingo ekspresas,1994PG-131h 42m,Comedy,8.0,92K,Kar-Wai Wong
Bučas Kesidis ir Sandensas Kidas,1969PG1h 50m,Biography,8.0,224K,George Roy Hill
Šuniška popietė,1975R2h 5m,Biography,8.0,270K,Sidney Lumet
Nausikaja iš Vėjų slenio,19841h 57m,Animation,8.0,179K,Hayao Miyazaki
Dangaus pilis Laputa,1986PG2h 5m,Animation,8.0,177K,Hayao Miyazaki
Liūtas,2016N-131h 58m,Biography,8.0,247K,Garth Davis
Soliaris,1972PG2h 47m,Drama,8.0,97K,Andrei Tarkovsky
Anė Hol,1977PG1h 33m,Comedy,8.0,275K,Woody Allen
Saldus gyvenimas,1960Not Rated2h 54m,Comedy,8.0,77K,Federico Fellini
Drugelis,1973R2h 31m,Biography,8.0,137K,Franklin J. Schaffner
Atostogos Romoje,1953Passed1h 58m,Comedy,8.0,145K,William Wyler
Fiddler on the Roof,1971G3h 1m,Drama,8.0,47K,Norman Jewison
Gandis,1982PG3h 11m,Biography,8.0,238K,Richard Attenborough
Šventė,1998R1h 45m,Drama,8.0,92K,Thomas Vinterberg
Mamytė,2014N-162h 19m,Drama,8.0,61K,Xavier Dolan
Meistras,2008R1h 46m,Action,8.0,231K,Wilson Yip
Pink Floyd: The Wall,1982R1h 35m,Drama,8.0,84K,Alan Parker
Aštuoni su puse,1963Not Rated2h 18m,Drama,8.0,123K,Federico Fellini
Medžiotojo naktis,1955Not Rated1h 32m,Crime,8.0,96K,Charles Laughton
The Hustler,1961Not Rated2h 14m,Drama,8.0,86K,Robert Rossen
Tikra istorija,1999G1h 52m,Biography,8.0,96K,David Lynch
Vidurdienis,1952PG1h 25m,Drama,8.0,109K,Fred Zinnemann
Kas nutiko Džeinei?,1962Passed2h 14m,Drama,8.0,61K,Robert Aldrich
Samurajus,1967GP1h 45m,Crime,8.0,56K,Jean-Pierre Melville
Maltos sakalas,1941Passed1h 40m,Crime,8.0,165K,John Huston
Dviguba rokiruotė,2002R1h 41m,Action,8.0,130K,Andrew Lau
Pasaka apie princesę Kagują,2013PG2h 17m,Animation,8.0,52K,Isao Takahata
Do-ga-ni,2011Not Rated2h 5m,Drama,8.0,21K,Hwang Dong-hyuk
Bãhubali: The Beginning,2015Not Rated2h 39m,Action,8.0,134K,S.S. Rajamouli
Stalag 17,1953Not Rated2h,Comedy,8.0,58K,Billy Wilder
Brief Encounter,1945Not Rated1h 26m,Drama,8.0,43K,David Lean
WolfWalkers,2020PG1h 43m,Animation,8.0,37K,Tomm Moore
Blogio prisilietimas,1958PG-131h 35m,Crime,8.0,109K,Orson Welles
Veidrodis,1975Not Rated1h 47m,Biography,8.0,51K,Andrei Tarkovsky
Žmogžudystės anatomija,1959Not Rated2h 41m,Drama,8.0,70K,Otto Preminger
Fickaraldas,1982PG2h 38m,Adventure,8.0,38K,Werner Herzog
Who's Afraid of Virginia Woolf?,1966Not Rated2h 11m,Drama,8.0,79K,Mike Nichols
Daktaro Kaligario kabinetas,1920Not Rated1h 16m,Horror,8.0,69K,Robert Wiene
Iš praeities,1947Approved1h 37m,Crime,8.0,40K,Jacques Tourneur
Žiemos miegas,2014Not Rated3h 16m,Drama,8.0,55K,Nuri Bilge Ceylan
Legenda apie pianistą,1998R2h 49m,Drama,8.0,68K,Giuseppe Tornatore
Elitinis būrys,2007R1h 55m,Action,8.0,109K,José Padilha
Paslaptys ir melagystės,1996R2h 16m,Comedy,8.0,46K,Mike Leigh
A Matter of Life and Death,1946PG1h 44m,Drama,8.0,24K,Michael Powell
Yeopgijeogin geunyeo,2001Not Rated2h 17m,Comedy,8.0,50K,Jae-young Kwak
M.S. Dhoni: The Untold Story,2016Not Rated3h 4m,Biography,8.0,66K,Mathur Goswami
Shin Evangelion Gekijôban,2021TV-MA2h 34m,Animation,8.0,13K,Mahiro Maeda
Dare mo shiranai,2004PG-132h 21m,Drama,8.0,30K,Kore-eda Hirokazu
Persepolis,2007PG-131h 36m,Animation,8.0,99K,Vincent Paronnaud
Jūros giesmė,2014PG1h 33m,Animation,8.0,62K,Tomm Moore
Skafandras ir drugelis,2007PG-131h 52m,Biography,8.0,110K,Julian Schnabel
The Life and Death of Colonel Blimp,1943Not Rated2h 43m,Drama,8.0,16K,Michael Powell
Jūros gelmėse,2004PG-132h 6m,Biography,8.0,84K,Alejandro Amenábar
Seklys,1972PG2h 18m,Mystery,8.0,50K,Joseph L. Mankiewicz
Kimi no suizô o tabetai,2018Not Rated1h 49m,Animation,8.0,22K,Shin'ichirô Ushijima
Rampos šviesa,1952G2h 17m,Drama,8.0,22K,Charles Chaplin
Šaltinių Manon,1986PG1h 53m,Drama,8.0,24K,Claude Berri
"Quo vadis, Aida?",2020Approved1h 41m,Drama,8.0,37K,Jasmila Zbanic
Ai no mukidashi,2008Unrated3h 57m,Action,8.0,15K,Sion Sono
Saldus sėkmės skonis,1957Approved1h 36m,Drama,8.0,35K,Alexander Mackendrick
Saugumo sistema,1964Approved1h 52m,Drama,8.0,24K,Sidney Lumet
Riksmai ir kuždesiai,1972R1h 31m,Drama,8.0,36K,Ingmar Bergman
"Katytė juoda, katinas baltas",1998R2h 7m,Comedy,8.0,56K,Emir Kusturica
Kind Hearts and Coronets,1949Not Rated1h 46m,Comedy,8.0,39K,Robert Hamer
Laukine kriauše,20183h 8m,Drama,8.0,27K,Nuri Bilge Ceylan
Nuotaką gaus drąsusis,1995Not Rated3h 9m,Drama,8.0,75K,Aditya Chopra
Ivano vaikystė,1962Not Rated1h 35m,Drama,8.0,39K,Andrei Tarkovsky
Haider,2014Not Rated2h 40m,Action,8.0,57K,Vishal Bhardwaj
"Pavasaris, vasara, ruduo, žiema ir... vėl pavasaris",2003R1h 43m,Drama,8.0,86K,Kim Ki-duk
Išlydėtojai,2008PG-132h 10m,Drama,8.0,54K,Yôjirô Takita
